raw_0,raw_1,raw_2,mitigated_0,mitigated_1,mitigated_2
9022,341,637,9226,124,650
3831,5438,731,3614,5735,651
4814,4392,794,4490,4691,820
504,5728,3768,65,6008,3927
2582,3623,3795,2448,3627,3924
3116,2540,4344,2922,2491,4587
4155,1827,4018,4023,2291,3686
6243,444,3313,6211,358,3432
3352,3012,3636,2928,2963,4110
5598,3660,742,5406,3923,671
649,8377,974,0,8909,1091
4581,4557,862,4320,4881,798
4862,3021,2117,4557,3077,2367
3091,4642,2267,2806,5042,2152
7308,500,2192,7428,296,2276
4307,3177,2516,4192,3238,2570
3875,4331,1794,3606,4413,1981
656,6972,2372,1,7350,2650
