raw_0,raw_1,raw_2,mitigated_0,mitigated_1,mitigated_2
6158,772,3070,4718,599,4683
5292,2117,2591,4755,1890,3355
4447,1938,3615,4402,1914,3684
1867,5627,2506,1370,5912,2718
5735,2005,2260,4585,1908,3507
5318,2013,2669,3652,1894,4454
4700,4263,1037,4289,4498,1213
8370,351,1279,8048,73,1879
5826,3058,1116,5724,3066,1210
2292,1728,5980,1923,1809,6268
1116,2739,6145,332,3884,5785
3276,953,5771,3117,1066,5817
4567,4324,1109,4620,4400,980
6410,2541,1049,6312,2635,1054
8412,587,1001,8528,429,1043
1848,2408,5744,1582,2357,6061
2798,1341,5861,2737,1179,6084
567,3771,5662,209,3737,6055
