raw_0,raw_1,raw_2,mitigated_0,mitigated_1,mitigated_2
9565,248,187,9761,116,123
5321,3879,800,4785,4835,380
6024,3107,869,5409,4591,0
960,7205,1835,27,9870,103
5797,3654,549,4875,5125,0
5065,3952,983,4597,5368,35
5907,3109,984,5606,3856,538
9657,203,140,9891,38,71
5427,3499,1074,4831,5169,0
5489,3576,935,4464,5536,0
1319,6827,1854,140,9860,0
5386,3610,1004,4929,4634,437
5192,3909,899,4358,5461,181
5374,3365,1261,5077,4923,0
9616,137,247,9877,46,77
5402,3514,1084,5032,4906,62
5240,3614,1146,5029,3982,989
1135,5906,2959,33,9804,163
