raw_0,raw_1,raw_2,mitigated_0,mitigated_1,mitigated_2
5875,602,3523,5853,322,3825
2427,4018,3555,1969,4205,3826
3481,2857,3662,3361,2762,3877
484,8581,935,0,9213,787
4194,4946,860,3949,5224,827
4325,4723,952,4100,5009,891
2721,3398,3881,2546,3372,4081
6545,410,3045,6214,71,3715
3347,2952,3701,3060,2937,4003
3770,5526,704,3516,5854,631
579,8779,642,36,9364,601
4827,3987,1186,4492,4709,800
2990,4716,2294,2639,5157,2204
3275,4042,2683,2959,4586,2455
7456,454,2090,7465,318,2217
3278,4392,2330,2624,5759,1617
3291,4710,1999,2968,4899,2133
841,7165,1994,152,7754,2094
