raw_0,raw_1,raw_2,mitigated_0,mitigated_1,mitigated_2
7356,717,1927,7390,221,2390
3167,5134,1699,2800,5009,2190
4681,3299,2020,4642,3015,2344
687,6646,2667,228,7054,2718
3279,4406,2315,2991,4823,2185
4659,3113,2228,4201,2913,2886
3439,3269,3292,3088,3150,3762
6144,775,3081,6293,398,3308
4004,2374,3622,3875,1940,4185
4696,4585,719,4546,4729,725
539,8729,732,0,9227,773
5254,3975,771,5219,4038,743
4529,4785,686,4426,4889,686
3552,5677,771,3261,5981,758
9005,346,649,9250,161,590
3244,3269,3487,2950,3189,3861
2734,3730,3536,2618,3510,3872
642,5899,3459,85,5964,3951
