raw_0,raw_1,raw_2,mitigated_0,mitigated_1,mitigated_2
3918,1425,4657,3639,1623,4738
1338,3588,5074,670,4682,4648
1691,3505,4804,1219,4453,4328
2082,2561,5357,1390,3250,5360
1928,3428,4644,1129,4084,4787
985,4535,4480,248,6079,3673
1531,1046,7423,1175,566,8258
1266,1304,7430,944,1083,7973
430,1926,7644,0,1742,8258
4350,3958,1692,4033,4586,1381
1168,7420,1412,679,8232,1088
1984,6562,1454,1531,7042,1427
1134,1714,7152,862,1295,7843
249,2334,7417,0,2128,7872
1343,1450,7207,942,924,8134
4583,3792,1625,4355,3983,1662
2134,6187,1679,1803,6484,1713
1058,7413,1529,559,7798,1643
