raw_0,raw_1,raw_2,mitigated_0,mitigated_1,mitigated_2
7403,806,1791,7566,350,2084
3172,3774,3054,2957,3406,3637
3513,3626,2861,3225,4732,2042
1405,5294,3301,17,8026,1957
3636,3738,2626,3127,4473,2400
3091,4091,2818,2523,5006,2470
3533,2912,3555,3238,2780,3983
5938,668,3394,5951,12,4037
2903,3165,3932,2271,3783,3946
4928,3573,1499,4505,4720,775
1315,6320,2365,363,9517,120
4287,4183,1530,3404,5873,723
2975,2690,4335,2811,3073,4116
2849,3125,4026,1909,4240,3850
5894,396,3710,5885,141,3974
4923,3117,1960,4528,4507,965
4047,5063,890,3881,5723,396
518,8564,918,62,9091,848
