raw_0,raw_1,raw_2,mitigated_0,mitigated_1,mitigated_2
1294,1082,7624,1013,785,8202
1815,452,7733,1593,100,8307
960,1474,7566,698,1051,8251
1250,7358,1392,831,7766,1404
6824,1747,1429,6967,1709,1324
4496,4121,1383,4436,4272,1292
2433,6035,1532,2055,6411,1534
7710,736,1554,7642,626,1732
4284,4314,1402,3814,4493,1693
1980,2395,5625,562,2155,7283
1134,1462,7404,0,1076,8924
1427,1266,7307,1126,940,7934
1535,4219,4246,1049,4305,4646
5246,1144,3610,4150,575,5276
4093,2075,3832,3463,1644,4893
1536,4577,3887,48,4634,5319
5277,1248,3475,4409,1073,4519
2262,3586,4152,812,3771,5417
