raw_0,raw_1,raw_2,mitigated_0,mitigated_1,mitigated_2
9546,214,240,9836,72,91
4824,4889,287,4117,5883,0
5420,4231,349,5131,4741,128
661,9168,171,0,10000,0
5463,4329,208,5370,4562,68
4926,4943,131,4796,5178,26
5356,4358,286,5155,4663,182
9668,199,133,9777,68,155
5246,3742,1012,5348,3801,851
5121,4519,360,4307,5693,0
1823,7174,1003,0,10000,0
5009,4586,405,4500,5500,0
4803,4851,346,4809,5144,46
4871,4814,315,4597,5280,123
9544,270,186,9893,102,5
5446,3707,847,5173,4261,566
5476,3515,1009,5140,4573,288
1252,7987,761,0,10000,0
