raw_0,raw_1,raw_2,mitigated_0,mitigated_1,mitigated_2
9597,181,222,9815,33,151
5046,4650,304,4922,5012,66
5163,4555,282,4844,5118,38
819,8776,405,0,10000,0
5141,4561,298,5012,4884,104
5063,4793,144,4974,5010,16
4973,4698,329,5001,4886,112
9584,197,219,9825,30,146
5217,4133,650,4741,5259,0
5043,3700,1257,5204,4286,510
849,8279,872,0,10000,0
5392,3499,1109,4844,4964,192
4919,4315,766,4891,4982,126
5217,4286,497,4617,5383,0
9601,229,170,9798,23,179
5116,4725,159,4890,5085,25
5033,4836,131,4904,5075,20
582,9250,168,13,9966,21
