raw_0,raw_1,raw_2,mitigated_0,mitigated_1,mitigated_2
8538,373,1089,9009,114,877
4139,5050,811,3943,5133,924
4287,4830,883,4147,4797,1056
548,8479,973,112,8882,1006
4561,4551,888,4209,4631,1160
4089,4666,1245,3916,4897,1187
4351,4084,1565,4298,3964,1738
7822,439,1739,8047,66,1887
3692,4491,1817,3625,4397,1978
4791,4783,426,4661,5067,272
587,8981,432,0,9624,376
4432,5201,367,4119,5516,364
4384,4164,1452,4140,4195,1665
3678,4829,1493,3510,4757,1733
8104,594,1302,8070,194,1736
4676,4774,550,4652,4939,409
4844,4794,362,4593,5050,357
565,8950,485,11,9507,482
