raw_0,raw_1,raw_2,mitigated_0,mitigated_1,mitigated_2
9330,168,502,9863,14,124
4605,5126,269,4519,5481,0
5108,4704,188,5024,4901,75
555,9229,216,72,9832,96
5072,4535,393,5019,4770,211
5103,4516,381,5039,4812,148
5174,4535,291,5111,4758,131
9578,241,181,9781,81,138
5089,4569,342,5059,4783,158
4827,4936,237,4738,5189,72
684,9097,219,51,9949,0
4842,4934,224,4824,5176,0
4962,4777,261,5031,4969,0
4789,5046,165,4703,5252,45
9615,201,184,9991,9,0
4742,4966,292,4778,5143,79
5055,4700,245,5095,4814,91
700,9011,289,181,9757,62
