raw_0,raw_1,raw_2,mitigated_0,mitigated_1,mitigated_2
7655,769,1576,7750,625,1625
6657,1709,1634,6281,1812,1907
4295,4270,1435,3917,4493,1590
1371,1358,7271,916,1241,7844
2402,452,7146,2119,7,7874
1773,1254,6973,955,957,8087
6790,1655,1555,6759,1769,1472
7733,710,1557,7744,788,1468
5316,3026,1658,4587,4025,1388
2101,451,7448,1690,164,8146
1070,1578,7352,631,1190,8178
1052,1447,7501,429,1287,8284
5022,901,4077,4781,542,4678
4401,1528,4071,4140,1152,4708
3895,1687,4418,3633,1647,4719
3817,1206,4977,3572,1136,5292
4351,888,4761,4134,638,5229
1497,3615,4888,1247,3512,5241
