raw_0,raw_1,raw_2,mitigated_0,mitigated_1,mitigated_2
8458,324,1218,9036,174,789
4028,5147,825,3820,5260,919
5056,3914,1030,4883,4450,667
598,8284,1118,34,8797,1169
4372,4564,1064,4243,4583,1174
4835,3911,1254,4700,3884,1416
4573,3911,1516,4158,4345,1497
7776,519,1705,8018,155,1827
4790,3374,1836,4746,3436,1818
4640,4934,426,4475,5263,262
512,9031,457,81,9566,353
5149,4548,303,4985,4729,287
4925,4654,421,4734,4881,385
4119,4834,1047,4034,5191,775
9224,219,557,9702,75,223
4101,4324,1575,3919,4404,1677
4276,4091,1633,4138,4053,1810
666,7740,1594,133,8135,1732
