raw_0,raw_1,raw_2,mitigated_0,mitigated_1,mitigated_2
8221,355,1424,8096,101,1804
4572,3675,1753,4023,3895,2082
4796,2762,2442,4427,3509,2064
1039,6536,2425,138,9054,808
5967,3141,892,5663,4143,194
4572,4592,836,4066,5934,0
5065,3787,1148,4820,4429,752
9410,123,467,9576,0,424
4896,4676,428,4578,5053,369
4038,4489,1473,3704,4687,1609
730,7652,1618,58,8132,1809
4460,3940,1600,4297,4075,1628
3999,5024,977,3775,5205,1020
5306,3870,824,4905,4023,1072
8588,324,1088,8897,68,1035
4303,4610,1087,4226,4877,897
4989,3995,1016,4609,4273,1119
906,7973,1121,18,9124,858
