raw_0,raw_1,raw_2,mitigated_0,mitigated_1,mitigated_2
3647,715,5638,2564,0,7436
2845,1250,5905,2611,1050,6338
2089,2035,5876,1739,1754,6507
944,7875,1181,401,8859,739
6400,2582,1018,6341,2727,933
4469,4572,959,4309,4695,996
3309,5349,1342,2956,5720,1324
8084,371,1545,8399,135,1466
4174,4430,1396,4013,4665,1322
1044,3283,5673,744,3172,6083
892,3634,5474,490,3741,5769
2305,1959,5736,2158,1813,6028
2125,4524,3351,1912,4529,3559
5031,1684,3285,4939,1657,3405
5967,795,3238,5879,734,3387
2237,4521,3242,1683,4950,3367
4731,1992,3277,4498,1987,3515
1352,5478,3170,529,6829,2642
