raw_0,raw_1,raw_2,mitigated_0,mitigated_1,mitigated_2
8588,213,1199,8955,0,1045
4984,4066,950,4860,4322,818
4475,4485,1040,3981,4673,1346
758,8378,864,151,8968,881
5362,3816,822,4821,4021,1158
4764,3768,1468,4464,4377,1158
5442,3309,1249,4927,4733,340
9320,153,527,9623,51,326
4301,5300,399,4162,5559,279
4087,4166,1747,4011,4255,1735
527,7753,1720,89,8132,1779
4220,4046,1734,3983,4299,1718
4282,4074,1644,4166,4348,1487
4670,3610,1720,4505,3772,1724
8025,283,1692,7945,101,1954
4795,4589,616,4609,4980,410
5592,3299,1109,5411,3491,1098
1027,6919,2054,0,10000,0
