raw_0,raw_1,raw_2,mitigated_0,mitigated_1,mitigated_2
7306,434,2260,7348,258,2394
4594,2983,2423,4034,3879,2087
4861,2664,2475,4669,2908,2422
825,6827,2348,270,7589,2140
4989,2823,2188,4303,2688,3009
4819,2999,2182,4659,3093,2248
5105,4218,677,4816,4697,487
9116,250,634,9089,48,863
5389,3874,737,4969,4015,1015
3034,3321,3645,2811,3294,3895
630,5581,3789,76,6023,3901
4148,1970,3882,3875,1701,4425
4498,4394,1108,4584,4860,556
6133,2855,1012,5941,3332,727
9045,286,669,9229,110,660
3097,3057,3846,2685,3399,3917
3736,2527,3737,3514,2685,3801
947,4602,4451,114,5811,4076
