raw_0,raw_1,raw_2,mitigated_0,mitigated_1,mitigated_2
9616,201,183,9865,76,59
4896,4527,577,4806,5194,0
5140,3882,978,5141,4124,735
1083,7441,1476,72,9641,288
5604,3701,695,5344,4413,243
4780,5026,194,3788,6212,0
5269,4586,145,5196,4781,22
9751,136,113,10000,0,0
4387,5015,598,4271,5322,407
4926,4807,267,4749,5108,143
503,9016,481,94,9625,281
5277,4331,392,5130,4669,201
4918,4813,269,4761,5099,140
5136,4548,316,5010,4798,192
9649,179,172,9816,92,92
4942,4796,262,4808,5158,33
5065,4734,201,4860,5140,0
506,9215,279,41,9848,111
