raw_0,raw_1,raw_2,mitigated_0,mitigated_1,mitigated_2
9526,201,273,9736,0,264
4791,4466,743,4355,5307,338
5210,4326,464,4726,5087,187
1289,6741,1970,197,7957,1846
4240,3786,1974,3892,4439,1668
4776,3284,1940,4308,3815,1877
4979,3580,1441,4517,3655,1828
8104,273,1623,8081,120,1799
4412,4009,1579,4125,4146,1729
5006,4521,473,4994,4697,309
627,8994,379,0,9689,311
4925,4629,446,4580,4992,429
5082,3926,992,4951,4122,927
4344,4860,796,4030,5191,779
8618,246,1136,8786,135,1079
4370,4454,1176,4215,4610,1175
4432,4411,1157,4264,4634,1102
634,8203,1163,77,8752,1171
