raw_0,raw_1,raw_2,mitigated_0,mitigated_1,mitigated_2
8613,470,917,8813,256,932
3363,5871,766,2859,6147,994
4754,4343,903,4546,4524,930
737,3546,5717,150,3509,6342
2303,2943,4754,1350,2919,5731
2553,2089,5358,1138,1967,6895
3447,998,5555,3167,894,5939
3857,566,5577,3445,475,6080
2570,1742,5688,2063,1894,6043
6108,2389,1503,5810,2953,1237
1293,6722,1985,250,8369,1382
4185,4385,1430,4025,4723,1252
4639,1734,3627,4550,1894,3556
2768,3962,3270,1888,4914,3198
5964,660,3376,5854,789,3358
4574,1377,4049,4122,1723,4155
2569,3334,4097,1915,4434,3650
1084,4645,4271,485,5561,3954
