raw_0,raw_1,raw_2,mitigated_0,mitigated_1,mitigated_2
9465,300,235,9926,74,0
5016,4563,421,4883,4989,129
5096,4756,148,4831,5169,0
698,9015,287,0,9742,258
5138,4666,196,4997,4869,134
5222,4436,342,5032,4780,188
5340,4508,152,5222,4671,107
9424,207,369,9807,0,193
5033,4750,217,4957,4963,80
5000,4854,146,4778,5154,68
837,8953,210,0,9955,45
5131,4709,160,4910,5090,0
5206,4315,479,5152,4793,55
4921,4933,146,4816,5159,25
9591,243,166,9815,81,103
4520,5216,264,4199,5724,77
5164,4576,260,5035,4865,100
639,9180,181,27,9944,30
