raw_0,raw_1,raw_2,mitigated_0,mitigated_1,mitigated_2
8053,341,1606,8005,153,1842
3740,4543,1717,3436,4855,1710
4322,3664,2014,4439,3901,1660
847,7478,1675,268,8323,1409
5396,3762,842,5196,4032,772
5303,3342,1355,4362,4987,651
4600,3027,2373,4085,4186,1728
8012,213,1775,8234,1,1766
4471,2857,2672,4249,4284,1467
4501,3987,1512,4040,5321,639
1231,6972,1797,0,9690,310
5045,3680,1275,4476,5182,342
4055,3933,2012,3849,4720,1431
4442,4767,791,4154,5050,795
9012,296,692,8828,86,1085
4511,4597,892,4078,4960,961
4400,4363,1237,3926,4546,1528
689,7797,1514,19,9349,632
