raw_0,raw_1,raw_2,mitigated_0,mitigated_1,mitigated_2
8358,356,1286,8634,251,1115
5951,2055,1994,5758,2762,1480
4577,3354,2069,4107,4839,1055
1008,2652,6340,385,3407,6208
3228,987,5785,3085,1062,5853
2617,1532,5851,2158,1945,5897
6274,2067,1659,6179,2776,1046
8419,338,1243,8766,314,920
4504,3065,2431,4448,4652,900
2858,1072,6070,2316,1016,6668
1925,3690,4385,1101,5695,3204
2708,2465,4827,2214,2187,5599
5000,1989,3011,4838,1784,3377
5321,2209,2470,5065,2042,2894
6307,1066,2627,5835,608,3556
4057,1777,4166,3734,2416,3849
4337,1403,4260,4328,1460,4212
894,4506,4600,170,6671,3159
