raw_0,raw_1,raw_2,mitigated_0,mitigated_1,mitigated_2
3671,1575,4754,3401,1338,5261
4178,1329,4493,3913,1154,4932
1145,4190,4665,490,4394,5116
1991,3649,4360,1691,3729,4580
4939,800,4261,4467,708,4826
1661,4296,4043,1111,4422,4468
4696,3869,1435,4602,4061,1336
7762,883,1355,7867,749,1384
2321,5593,2086,1851,5832,2317
963,1603,7434,336,1747,7917
1054,1317,7629,693,1163,8144
268,2160,7572,0,1755,8245
2302,1471,6227,1989,1092,6919
2534,807,6659,0,0,10000
1512,1119,7369,1102,971,7927
4205,4194,1601,4009,4371,1620
6671,1870,1459,6597,1891,1512
1257,7083,1660,75,9895,30
