raw_0,raw_1,raw_2,mitigated_0,mitigated_1,mitigated_2
7281,397,2322,7238,169,2593
4461,3289,2250,4239,3265,2496
3487,4523,1990,2313,4697,2991
903,7136,1961,0,7005,2995
5091,2891,2018,4953,2859,2189
3303,4603,2094,3075,4705,2221
4948,4293,759,4909,4396,695
8998,298,704,9142,122,736
3761,5463,776,3574,5785,641
3024,3146,3830,2742,3165,4093
636,5338,4026,0,6998,3002
2949,3318,3733,2309,3655,4036
3272,3074,3654,3092,3109,3800
4026,2378,3596,3775,2296,3930
5892,356,3752,5711,72,4217
4823,3927,1250,4170,5374,456
5908,2574,1518,5787,2870,1343
1235,6492,2273,0,9103,897
