raw_0,raw_1,raw_2,mitigated_0,mitigated_1,mitigated_2
9527,142,331,9868,0,132
5236,3310,1454,4716,5150,134
5697,3203,1100,5147,4506,347
724,8955,321,0,10000,0
5343,4457,200,5176,4824,0
4939,4755,306,4817,4997,187
5321,4387,292,5215,4642,143
9656,211,133,9886,103,11
4988,4615,397,4641,5356,3
5003,4409,588,4691,5008,302
688,8840,472,45,9718,238
5418,4199,383,5300,4647,53
5336,4316,348,5038,4842,120
5324,4200,476,5041,4959,0
9587,242,171,9894,42,64
4995,4639,366,4625,5136,239
4990,4577,433,4224,5776,0
904,8224,872,67,9933,0
