raw_0,raw_1,raw_2,mitigated_0,mitigated_1,mitigated_2
6034,735,3231,5863,701,3436
2531,3497,3972,1815,4878,3307
5058,1570,3372,4851,1992,3157
1239,4201,4560,502,5840,3658
2540,3917,3543,1717,5304,2979
4373,2168,3459,4106,2180,3714
2554,1893,5553,2234,1816,5950
3677,1028,5295,3499,370,6131
3096,1234,5670,3017,960,6023
4231,4324,1445,4071,5000,929
1282,6577,2141,0,6370,3630
5939,2672,1389,5652,3157,1191
4366,4207,1427,4009,4871,1120
2914,5223,1863,2657,5991,1351
8454,386,1160,8535,294,1171
2122,1807,6071,1863,1951,6186
1610,2498,5892,1037,2849,6114
1135,3255,5610,137,3814,6049
