raw_0,raw_1,raw_2,mitigated_0,mitigated_1,mitigated_2
8586,211,1203,8774,144,1082
4725,4170,1105,4122,5878,0
5428,3692,880,5094,3902,1004
821,8213,966,169,9043,787
5364,3571,1065,5150,3866,984
5132,4203,665,4993,4362,645
5195,4204,601,4970,4430,600
9272,224,504,9636,0,364
4927,4595,478,4705,4947,349
4034,4491,1475,3822,4641,1537
596,7481,1923,199,7711,2090
4907,3391,1702,4700,3641,1659
4804,4540,656,4611,5217,172
5665,3852,483,5581,4145,274
9122,188,690,9502,51,448
4293,4257,1450,4125,4598,1277
4515,3919,1566,4370,3995,1635
889,7698,1413,143,8321,1536
