raw_0,raw_1,raw_2,mitigated_0,mitigated_1,mitigated_2
6927,488,2585,5409,57,4533
4828,2694,2478,3406,2480,4114
4470,2981,2549,2879,2755,4366
853,8626,521,90,9249,661
6016,3311,673,5981,3361,658
4539,4726,735,4324,5084,591
4125,4953,922,3914,5294,793
8935,198,867,9274,8,718
4521,4544,935,4289,4891,821
2696,3903,3401,2113,4011,3877
1500,5640,2860,1057,6116,2828
4073,2904,3023,2988,2890,4122
3828,4697,1475,2922,4879,2200
5136,2790,2074,4441,2769,2790
7230,582,2188,7199,222,2578
3573,3965,2462,3290,4172,2537
5102,2432,2466,4443,3288,2269
1290,4971,3739,341,7136,2523
