raw_0,raw_1,raw_2,mitigated_0,mitigated_1,mitigated_2
3722,1792,4486,3642,1411,4947
4399,945,4656,4348,721,4931
4081,1280,4639,4038,1056,4906
1930,3612,4458,1574,3782,4644
4357,1237,4406,4240,1060,4699
4290,1143,4567,4342,811,4847
4254,4155,1591,4018,4421,1562
7665,815,1520,7554,531,1915
6531,1629,1840,6366,2228,1406
1618,1116,7266,1201,949,7850
1300,1186,7514,821,1112,8066
2109,411,7480,1968,0,8032
4692,3645,1663,4439,4260,1301
7074,1509,1417,7040,1723,1238
7722,930,1348,7740,857,1403
1265,1486,7249,856,1195,7949
2463,588,6949,1830,133,8038
1251,1405,7344,178,1167,8655
