raw_0,raw_1,raw_2,mitigated_0,mitigated_1,mitigated_2
5722,769,3509,5650,551,3800
4133,2276,3591,4055,2132,3813
1817,4518,3665,1631,4416,3953
1207,5604,3189,755,5807,3438
5103,1836,3061,4973,1668,3360
2357,4539,3104,2060,4910,3030
4798,4107,1095,4730,4219,1050
8368,493,1139,8520,332,1148
3075,5860,1065,2780,6165,1055
1748,2485,5767,1482,2309,6209
656,3646,5698,221,3768,6011
1334,3016,5650,1008,3053,5939
2263,2184,5553,1996,1953,6051
3002,1257,5741,2916,981,6102
3611,766,5623,3515,506,5979
4282,4567,1151,4248,4710,1042
5792,3101,1107,5775,3069,1157
725,7955,1320,72,8459,1469
