raw_0,raw_1,raw_2,mitigated_0,mitigated_1,mitigated_2
3750,1855,4395,3702,1741,4557
1372,5312,3316,994,5436,3570
4749,1855,3396,4687,826,4487
1736,4633,3631,1433,3712,4854
1151,5214,3635,588,4478,4934
4061,2226,3713,3811,1278,4911
1084,2640,6276,161,889,8950
1460,2655,5885,1050,1009,7941
2164,1899,5937,2017,0,7983
4445,4118,1437,4242,4159,1599
1044,7343,1613,519,7670,1811
6399,1621,1980,6636,1299,2065
4350,3371,2279,3835,4128,2037
2476,6754,770,808,9192,0
7762,1159,1079,7930,740,1330
2203,2252,5545,1112,653,8235
1153,3241,5606,232,1587,8182
1348,2577,6075,641,1125,8234
