raw_0,raw_1,raw_2,mitigated_0,mitigated_1,mitigated_2
1459,969,7572,999,1006,7995
615,1736,7649,98,1780,8122
1861,951,7188,1193,951,7856
1460,6397,2143,514,7694,1793
2589,5502,1909,1553,6908,1540
4026,4416,1558,3829,4571,1599
713,1946,7341,392,1722,7886
1692,1142,7166,936,711,8352
1016,1296,7688,688,1005,8307
2080,5959,1961,1606,6716,1678
1618,7292,1090,799,7804,1397
4793,4195,1012,4329,4268,1404
2182,4627,3191,372,4786,4843
1463,3952,4585,1088,4109,4803
5096,1974,2930,3710,1722,4568
2276,4486,3238,318,4201,5481
1075,4211,4714,855,4221,4925
1928,3938,4134,1581,3962,4457
