raw_0,raw_1,raw_2,mitigated_0,mitigated_1,mitigated_2
7430,888,1682,7741,762,1497
2075,6547,1378,1679,6856,1466
4564,4010,1426,4437,4127,1436
1029,1347,7624,712,1001,8287
378,2076,7546,0,1809,8191
845,1579,7576,531,1185,8284
2239,426,7335,1894,24,8082
1478,1188,7334,1134,927,7939
1394,1053,7553,1064,916,8020
6562,1557,1881,6599,1709,1692
1384,5744,2872,642,8034,1324
4305,3441,2254,3827,4120,2053
4519,1143,4338,4253,1233,4513
1371,3914,4715,633,4302,5065
3955,1797,4248,3722,1730,4548
4148,652,5200,4091,643,5265
1484,2808,5708,896,3779,5326
1770,2360,5870,1198,3544,5258
