raw_0,raw_1,raw_2,mitigated_0,mitigated_1,mitigated_2
9187,231,582,9559,0,441
4983,4555,462,4941,4702,356
4969,4620,411,4780,4875,345
643,7768,1589,9,8383,1609
4756,3270,1974,4428,3961,1611
4292,3758,1950,3943,4532,1525
5383,4119,498,5382,4383,235
9281,278,441,9704,13,283
4978,4696,326,4728,5100,171
4443,3526,2031,4081,4365,1554
667,7417,1916,94,8117,1789
4535,3458,2007,3779,4997,1224
5116,3799,1085,4986,4136,878
5278,3731,991,5010,4132,858
8712,295,993,8887,99,1014
4231,4384,1385,4175,4743,1083
5011,3840,1149,4747,4118,1134
644,8104,1252,0,8862,1138
