raw_0,raw_1,raw_2,mitigated_0,mitigated_1,mitigated_2
3574,974,5452,3579,486,5935
1090,3073,5837,763,2923,6314
2547,1759,5694,2120,1683,6197
718,7579,1703,0,9573,427
3266,5349,1385,3071,5645,1284
4280,4366,1354,3988,4673,1339
1761,2306,5933,1374,2221,6405
3669,440,5891,3536,253,6211
2207,1918,5875,1688,2397,5914
3038,5677,1285,2694,6180,1126
1006,7863,1131,203,8909,889
4618,3960,1422,4413,4315,1271
2102,3809,4089,1695,4084,4221
2206,4233,3561,1297,5823,2880
5707,943,3350,5743,608,3649
2205,4205,3590,1937,4433,3630
2443,4293,3264,1958,4701,3341
1002,5361,3637,503,5972,3525
